date,ticker,action,shares,market_price,executed_price,total
2022-01-01,MSFT,buy,20.488781785391023,325.41748046875,326.27146900842683,6684.904931312627
2022-02-01,NVDA,sell,222.0,24.590364456176758,23.701938560910808,5261.830360522199
2022-02-01,LRCX,sell,82.0,56.32479476928711,55.453981815191725,4547.226508845722
2022-02-01,MU,sell,85.0,79.66644287109375,78.71808712583436,6691.037405695921
2022-02-01,ADBE,sell,18.0,535.97998046875,535.1947873928843,9633.506173071917
2022-02-01,MSFT,buy,1.5112182146089737,298.7509460449219,299.548371032107,452.68295446016714
2022-02-01,GOOG,buy,38.0,136.8520965576172,137.6782725126759,5231.774355481684
2022-02-01,META,buy,13.0,316.7871398925781,317.5634022216755,4128.324228881782
2022-02-01,NFLX,buy,229.0,45.7130012512207,46.63592213552049,10679.626169034193
2022-02-01,BX,buy,43.0,117.79488372802734,118.10147068127426,5078.363239294793
2022-02-01,TTD,buy,7.833459012248544,71.08999633789062,71.84942183307389,562.82950098314
2022-04-01,NVDA,sell,175.0,26.66489601135254,26.12883149306248,4572.5455112859345
2022-04-01,MSFT,sell,6.0,300.00860595703125,299.77354723569823,1798.6412834141893
2022-04-01,GOOG,sell,16.0,139.65260314941406,139.56347541484388,2233.015606637502
2022-04-01,BX,sell,5.0,113.06450653076172,112.32656559001688,561.6328279500844
2022-04-01,LRCX,buy,29.0,50.36866760253906,51.219115590006574,1485.3543521101906
2022-04-01,MU,buy,2.0,74.51184844970703,75.27560079826523,150.55120159653046
2022-04-01,ADBE,buy,6.0,458.19000244140625,458.36722363367625,2750.2033418020574
2022-04-01,META,buy,21.403570943911213,223.29025268554688,223.3144341336484,4779.726333778931
2022-05-01,NVDA,sell,806.0,18.51429557800293,17.851685238311045,14388.458302078703
2022-05-01,LRCX,sell,465.0,44.64689254760742,43.96902325003608,20445.595811266776
2022-05-01,MU,sell,303.0,66.78795623779297,66.52903111730184,20158.296428542457
2022-05-01,ADBE,sell,47.0,395.95001220703125,395.15004971191985,18572.052336460234
2022-05-01,MSFT,sell,72.0,269.0788269042969,268.11193494501396,19304.059316041006
2022-05-01,GOOG,sell,137.0,114.11064910888672,113.66688883598673,15572.36377053018
2022-05-01,META,sell,81.4035709439112,199.07937622070312,198.1749317668308,16132.147117385974
2022-05-01,NFLX,sell,320.0,19.035999298095703,18.642931947146735,5965.738223086955
2022-05-01,ALSN,sell,543.0,35.36924362182617,35.26029515462514,19146.340268961452
2022-05-01,BX,sell,168.0,90.73340606689453,90.00518232715523,15120.870630962077
2022-05-01,TTD,sell,156.83345901224854,58.91999816894531,58.479160443183545,9171.489012436732
2022-05-01,DOCS,sell,219.0,39.869998931884766,39.64125725001351,8681.435337752959
2022-05-01,ATO,buy,145.0,103.34367370605469,103.85213897718552,15058.5601516919
2022-05-01,CMS,buy,246.0,61.06865692138672,61.46339757464721,15119.995803363214
2022-05-01,NEM,buy,231.0,64.98358917236328,65.15910930079504,15051.754248483654
2022-05-01,ED,buy,184.0,81.51294708251953,81.60003256902023,15014.405992699722
2022-05-01,NEE,buy,234.0,64.07876586914062,64.34422302819502,15056.548188597633
2022-05-01,AEM,buy,283.0,53.00673294067383,54.00041164219582,15282.116494741418
2022-05-01,HRL,buy,326.0,46.06955337524414,46.723893930483676,15231.98942133768
2022-05-01,XEL,buy,232.0,64.718017578125,64.77954143839732,15028.853613708177
2022-05-01,SO,buy,235.0,63.94940948486328,64.62723447779649,15187.400102282176
2022-05-01,MO,buy,365.0,41.13596725463867,42.04736674241201,15347.288860980383
2022-05-01,HSY,buy,73.0,205.4226531982422,205.71378933297964,15017.106621307514
2022-05-01,SJM,buy,124.0,120.45404052734375,120.90449719503307,14992.157652184102
2022-06-01,ATO,sell,76.0,106.7568130493164,106.62669789278024,8103.629039851298
2022-06-01,CMS,sell,130.0,63.394840240478516,62.60081687397899,8138.106193617269
2022-06-01,NEM,sell,109.0,60.49650192260742,60.32080825509722,6574.9680998055965
2022-06-01,ED,sell,100.0,87.41654205322266,87.15807515688651,8715.807515688652
2022-06-01,NEE,sell,127.0,69.11688995361328,68.68477158565955,8722.965991378762
2022-06-01,AEM,sell,132.0,48.76141357421875,47.80637842712357,6310.441952380311
2022-06-01,HRL,sell,152.0,42.45538330078125,41.653357489548384,6331.310338411355
2022-06-01,XEL,sell,121.0,66.36113739013672,66.10460426110197,7998.657115593338
