date,Original (Quarterly),Buy & Hold,Compounders,True Buffett,Market Regime,Earnings Growth,SPY_Benchmark
2020-04-24,51387.74080977907,146013.80348055763,26585.74550971937,110077.2714041167,7391.597144988875,21091.46441164961,175068.81948391788
2020-04-27,52911.05646453371,147517.07067530556,27317.67466220808,111887.15758499439,7557.954123405318,22171.967008911637,177593.0437988724
2020-04-28,54806.3604615735,152725.19182627602,28161.984828567027,116356.9012983733,7709.736062911848,22997.099793829897,176776.3661223173
2020-04-29,57251.31768737306,155424.78374522133,29132.30827018507,118260.93080124195,8039.862768677573,24362.254656813813,181404.12435540944
2020-04-30,55471.120780329606,153028.4051555912,28524.788399427012,115863.15082916553,7890.752218750815,24005.249128828276,179715.11529657568
2020-05-01,53959.017978052994,149975.87799494667,27527.887763707713,112419.95945724781,7652.8660598076385,22778.279631910056,174957.49158895735
2020-05-04,53481.12645659914,148226.44178812904,27356.61544046354,112068.9582174712,7569.466027168135,22413.30903898456,175440.08316306412
2020-05-05,53682.22188888063,149642.74680560036,27391.12573823881,112685.62260803516,7542.833887962202,22651.16244517549,177061.02550709498
2020-05-06,52093.412047724625,146913.34131091041,27256.07595559843,112207.17677292164,7441.286478546957,22433.11842551415,175860.773559881
2020-05-07,53127.434493403336,148174.10956423683,27907.499301880685,113666.49275192554,7584.3463453329605,22799.72247133381,177982.8655410976
2020-05-08,54637.997107844254,150358.58976023598,28862.873849362222,118811.5960539275,7787.4246391333145,22970.772008142903,180927.78025286898
2020-05-11,53127.67492995729,149730.23100893898,28720.213297814218,117630.37191376026,7686.619076160292,22698.09929936764,180964.8758955136
2020-05-12,51221.114138941666,145732.89856760902,28649.10136362919,115441.99624237354,7548.303236392836,21617.33635098038,177357.95451635864
2020-05-13,48846.43239531984,140778.16148226662,28071.66925196211,113183.36860641773,7378.93939736257,20932.415866085594,174221.21170223117
2020-05-14,49664.4189141797,142573.19785159035,28518.81379832251,114825.55707916553,7490.388950494627,21618.73960768429,176306.22852431648
2020-05-15,50113.58119140138,143184.71580737038,28840.625948800873,115327.72936996754,7488.410963205199,21539.830612682264,177116.65872930526
2020-05-18,53529.60248122682,147706.6918453495,29727.25705384383,119162.49028381641,7797.655361322264,23016.309627918206,182511.60647074186
2020-05-19,52416.584021906754,145226.3615593235,29616.840448395204,116977.79538711841,7838.011623648505,22668.987067164206,180636.9553305783
2020-05-20,53770.201335291764,146426.0928158085,29598.537010342483,119736.82021316822,7885.89192333589,22915.770808170906,183705.63142990286
2020-05-21,54439.532275538346,146340.5818390171,29882.359044616787,117256.01036056812,8007.98190644155,23049.27289277718,182437.37421842595
2020-05-22,54143.65306029787,145496.92362635536,30017.9388251954,116410.53121170338,8008.885493782858,23341.54309220182,182783.79139590022
2020-05-25,54143.65306029787,145496.92362635536,30017.9388251954,116410.53121170338,7366.051955857145,23341.54309220182,182783.79139590022
2020-05-26,57897.39507232179,153173.65782969398,30965.659166596535,119669.75283798511,7584.765376188623,24657.890722982724,185035.7898186697
2020-05-27,59393.00881896486,158496.26533930702,32151.591582558754,122996.61182770069,7705.594576933252,25157.67498139122,187788.95836213828
2020-05-28,58237.09966216554,158559.32262843056,31572.123507283333,121764.80438217457,7592.320855238306,24400.030106996197,187442.54118466398
2020-05-29,57056.48021636476,157243.39697688026,31869.740015891977,121171.76113113697,7746.657024540769,24382.345470471464,188277.75644078472
2020-06-01,57478.31194243898,157876.64976160927,34100.54411108053,121165.13234695728,8093.847877182829,24377.533916543794,189038.69847756287
2020-06-02,58118.113372187516,159052.38807719154,34509.02477104223,121541.73202499683,8143.462289013731,24768.192017463945,190603.94614884345
2020-06-03,61291.881789545914,162490.16667216225,35104.64257467899,124812.8932112151,8193.610871054994,26148.986396386976,193140.58347287728
2020-06-04,63237.31320128908,163338.48934214516,36655.2277398218,126405.8323782378,8464.725825049745,26640.502994015234,192633.24781466517
2020-06-05,64141.150664667985,166523.58142130775,37560.914129744895,129820.42852768238,8654.745574750768,28124.80953336489,197570.36854961363
2020-06-08,66814.60603270998,168848.02184336586,39553.58575971279,133502.29886230762,8874.87387738453,28962.903376674578,199958.4799184756
2020-06-09,64990.53254638185,167024.56052439613,38807.24891812954,131938.36077484424,8699.050582744943,27874.87229808471,198467.46449951094
2020-06-10,62569.371116022965,163612.38468592567,37791.92150157033,128558.83675369556,8595.281775035726,27212.33143059779,197360.0233512052
2020-06-11,58411.81882033815,156330.46684496803,34083.943889517235,121454.50519165333,8060.811107315885,24840.676919054324,185982.37393677764
2020-06-12,59434.333114008805,156974.1815418522,34611.596310514855,122072.18780884083,8189.082502522337,25577.107317072183,188209.66924246846
2020-06-15,60005.53727660646,157409.09295695229,36526.10230014216,123732.1136320525,8288.87574515568,25680.484984366816,189966.7040490785
2020-06-16,60792.52098784914,159220.2664913456,36970.7117259722,125527.46004852589,8428.839704015123,26359.466664128086,193623.0931129307
2020-06-17,59765.366881709,158933.04000513954,36478.854310075076,124226.3450735503,8279.179912187921,25424.363502824017,192818.8694124816
2020-06-18,59786.41979918947,158717.29232066078,36358.45446209076,124663.4082678252,8236.013687708246,25453.415481491607,192893.10166479755
2020-06-19,58930.181243281266,158251.23108714027,35025.66426361713,124486.43342575367,8020.578097083437,25047.625783420754,191790.74042779818
2020-06-22,58819.336820131124,157766.7977527897,29006.22584814408,124809.6780813628,8073.1191204570405,22534.253532172836,193021.1031396105
2020-06-23,58772.94906378347,157357.8194221775,29068.494435579716,124286.67902740772,8127.139740564691,22265.7415037171,193909.73939850164
2020-06-24,57187.55853224355,153788.7639698307,28042.382104438522,121076.43194565113,7529.829748441859,21532.22650790373,188963.33963201367
2020-06-25,58225.11867285329,155353.16147845192,28808.12937243735,122493.20183929737,7711.977244903727,21928.463949920333,190989.1386170556
2020-06-26,57197.41883421499,153695.67828028603,28155.678552586724,119644.13058075245,7537.202245285197,21224.36751389662,186452.81878747843
2020-06-29,59002.02965117055,156652.96728556557,28858.345710867583,123290.55303177173,7753.712284137889,21872.01632905165,189193.22610214102
2020-06-30,59189.876285081686,156844.17294733925,29816.763778759,124186.28820022877,7986.346567024871,22079.735447646774,191616.73298204108
2020-07-01,58584.223147874654,155343.85676424904,29392.242974710673,124082.76484283741,7891.36199580638,21945.72254133383,192958.97664367393
2020-07-02,58884.989232545675,156348.4476341526,28563.80356057549,124846.91472229298,7659.561815788432,21881.626248122848,194021.5384142688
2020-07-03,58884.989232545675,156348.4476341526,28563.80356057549,124846.91472229298,7659.561815788432,21881.626248122848,194021.5384142688
2020-07-06,59721.615109926046,158243.89624636574,28748.22576852937,126556.68904480274,7670.095065881892,22166.243952514327,197016.76063478406
2020-07-07,59745.02927923757,155426.23869173927,27738.730345363907,124628.52361664112,7457.525717546626,21469.161472083724,194984.7551452025
