date,cash,positions_value,total_value
2016-03-18,32377.65905613466,73579.34965515137,105957.00871128603
2016-03-21,32377.65905613466,73908.30805969238,106285.96711582705
2016-03-22,32377.65905613466,73627.74252319336,106005.40157932803
2016-03-23,32377.65905613466,74032.96611022949,106410.62516636416
2016-03-24,32377.65905613466,73398.8744430542,105776.53349918887
2016-03-25,32377.65905613466,73398.8744430542,105776.53349918887
2016-03-28,3805.8268342718548,95403.5680027008,99209.39483697266
2016-03-29,3805.8268342718548,95997.59024047852,99803.41707475037
2016-03-30,3805.8268342718548,96642.71290206909,100448.53973634094
2016-03-31,3805.8268342718548,96120.79863929749,99926.62547356934
2016-04-01,3805.8268342718548,96053.03465461731,99858.86148888916
2016-04-04,3805.8268342718548,95253.60456466675,99059.4313989386
2016-04-05,3805.8268342718548,94475.73759841919,98281.56443269104
2016-04-06,3805.8268342718548,95559.38673591614,99365.21357018799
2016-04-07,3805.8268342718548,93916.13787078857,97721.96470506043
2016-04-08,3805.8268342718548,92920.02956390381,96725.85639817566
2016-04-11,3805.8268342718548,92374.50763893127,96180.33447320313
